,original_text,cleaned_text,lang,translation
1732,"🇨🇩 Emeute, meurtre, et même #cannibalisme  : @Libe a retrouvé les témoins d’un crime atroce commis mi-juin à Kalima, dans l’est de la #RDC. Largement relayé sur les réseaux sociaux, il illustre le retour de la haine raciste dans la région. @TheoEnglebert_ https://t.co/KMyAYSSaTC","🇨🇩 Emeute, meurtre, et même   :  a retrouvé les témoins d’un crime atroce commis mi-juin à Kalima, dans l’est de la . Largement relayé sur les réseaux sociaux, il illustre le retour de la haine raciste dans la région.  ",fr,"🇨🇩 IMEUTE, murder, and even: found witnesses to an atrocious crime committed in mid-June in Kalima, in the east of. Widely relayed on social networks, it illustrates the return of racist hatred in the region."
1739,Voici le couple UPDF et RDF ( museveni et kagame) qui déstabilise  la RDC ( et Bunagana) avec la complicité de la Monusco et toute la communauté internationale avec l'espionnage des Banyamulenge .l congolais doivent rester en ALERTE maximale pour protéger leur pays RDC https://t.co/IOLoG1p3oT,Voici le couple UPDF et RDF ( museveni et kagame) qui déstabilise  la RDC ( et Bunagana) avec la complicité de la Monusco et toute la communauté internationale avec l'espionnage des Banyamulenge .l congolais doivent rester en ALERTE maximale pour protéger leur pays RDC,fr,Here is the UPDF and RDF couple (Museveni and Kagame) who destabilize the DRC (and Bunagana) with the complicity of Monusco and the whole international community with the spying of the Banyamulenge. The Congolese must remain on maximum alert to protect their country DRC
1742,Voici le couple UPDF et RDF ( museveni et kagame) qui déstabilise  l'Est de la RDC ( et Bunagana) avec la complicité de la Monusco et toute la communauté internationale avec l'espionnage des Banyamulenge .l congolais doivent rester en ALERTE maximale pour protéger leur pays RDC https://t.co/WqqdcCwOnJ,Voici le couple UPDF et RDF ( museveni et kagame) qui déstabilise  l'Est de la RDC ( et Bunagana) avec la complicité de la Monusco et toute la communauté internationale avec l'espionnage des Banyamulenge .l congolais doivent rester en ALERTE maximale pour protéger leur pays RDC,fr,Here is the UPDF and RDF couple (Museveni and Kagame) who destabilize the east of the DRC (and Bunagana) with the complicity of Monusco and the whole international community with the spying of the Banyamulenge. their country DRC
1746,Le couple UPDF et RDF ( museveni et kagame) s'empare de l'Est de la RDC ( Bunagana) avec la complicité de la Monusco et toute la communauté internationale. Les congolais doivent rester en ALERTE maximale pour protéger leur pays RDC https://t.co/z6vWalswZR,Le couple UPDF et RDF ( museveni et kagame) s'empare de l'Est de la RDC ( Bunagana) avec la complicité de la Monusco et toute la communauté internationale. Les congolais doivent rester en ALERTE maximale pour protéger leur pays RDC,fr,The UPDF and RDF couple (Museveni and Kagame) seize the east of the DRC (Bunagana) with the complicity of Monusco and the entire international community. Congolese must remain on maximum alert to protect their DRC country
1754,"Disney will soon lose copyright to original Mickey Mouse
#123INFO
https://t.co/SLCTqYpYQu","Disney will soon lose copyright to original Mickey Mouse

",fr,"Disney will soon lose copyright to original Mickey Mouse

"
1758,EU Commission sues Hungary over LGBTQ law https://t.co/J5QhIvzoCQ - source/editor :,EU Commission sues Hungary over LGBTQ law  - source/editor :,fr,EU Commission sues Hungary over LGBTQ law  - source/editor :
1761,"Ciencia en #DW 🇩🇪 ""Astrónomos registran un nuevo récord de medición del campo magnético más intenso del Universo"" via @dw_espanol https://t.co/s45FAcNRWP","Ciencia en  🇩🇪 ""Astrónomos registran un nuevo récord de medición del campo magnético más intenso del Universo"" via  ",fr,"Science in 🇩🇪 ""Astronomers record a new measurement record of the most intense magnetic field in the universe"" via"
1833,"🔴 CAS itirazı reddetti, Zenit Şampiyonlar Ligi'nde yok: Spor Tahkim Mahkemesi (CAS) Rusya milli takımını ve Rus futbol kulüplerini uluslararası müsabakalardan men eden kararlara yapılan itirazları reddetti. https://t.co/XweLeKGAxj","🔴 CAS itirazı reddetti, Zenit Şampiyonlar Ligi'nde yok: Spor Tahkim Mahkemesi (CAS) Rusya milli takımını ve Rus futbol kulüplerini uluslararası müsabakalardan men eden kararlara yapılan itirazları reddetti. ",fr,"🔴 CAS rejected the objection, the Zenit Champions League: Sports Arbitration Court (CAS) rejected the objections made to the decisions of the Russian national team and Russian football clubs from international competitions."
1884,"@juvenalmunubo @jlprdeangola @juvenalmunubo toi et moi savons que seules les unités spéciales des RDF, en tenues Kenyannes sont motivées et expérimentées pour liquider avec méthodes les résidus des maï-maï qui auront refusés le processus de Naïrobi. Les forces SADC vont coûter inutilement très chère.","  toi et moi savons que seules les unités spéciales des RDF, en tenues Kenyannes sont motivées et expérimentées pour liquider avec méthodes les résidus des maï-maï qui auront refusés le processus de Naïrobi. Les forces SADC vont coûter inutilement très chère.",fr,"  You and I know that only the Special DRF units, in Kenyannes outfits, are motivated and experienced to liquidate with methods the residues of the Mai-Mai which will have refused the Naïrobi process. SADC forces will cost unnecessarily very expensive."
1887,"Eine riesengroße Sauerei ist das.

Und im Gegenzug Millionen von Bürger:innen der #EU mit der #Chatkontrolle im Stasi-Stil bespitzeln wollen. 

""SMS-Affäre zu Impfstoffbeschaffung: EU-Kommission verweigert weiter Aufklärung"" https://t.co/otzjxuIRc1","Eine riesengroße Sauerei ist das.

Und im Gegenzug Millionen von Bürger:innen der  mit der  im Stasi-Stil bespitzeln wollen. 

""SMS-Affäre zu Impfstoffbeschaffung: EU-Kommission verweigert weiter Aufklärung"" ",fr,"It is a huge mess.

And in return, millions of citizens: inside who want to spy on the Stasi style.

""SMS affair for gathering vaccine: EU Commission further refuses to clarify"""
1891,"Parlant de condition pour gagner une guerre, Museveni dit : ""Il faut que la cause soit juste"". Et il recommande ""de dialoguer avec le M23"", branche terroriste de @PaulKagame. Veut-il nous dire que défendre absolument nos terres occupées par l'étranger est une cause injuste ?","Parlant de condition pour gagner une guerre, Museveni dit : ""Il faut que la cause soit juste"". Et il recommande ""de dialoguer avec le M23"", branche terroriste de . Veut-il nous dire que défendre absolument nos terres occupées par l'étranger est une cause injuste ?",fr,"Speaking of condition to win a war, Museveni says: ""The cause must be right"". And he recommends ""to dialogue with the M23"", terrorist branch of. Does he mean that defending our land occupied by foreigners absolutely is an unjust cause?"
1892,"🔴 Almanya'da kış korkusu: Tek suçlu Putin mi?: Yaz sıcaklarıyla boğuşan Almanların aklı şimdiden soğuk kış aylarında. Rusya vanayı kapatırsa ne olacak? DW'den Henrik Böhme, mevcut duruma düşülmesinde Almanya'nın kendi hatalarının payına dikkat çekiyor. https://t.co/1LFzWdOUy1","🔴 Almanya'da kış korkusu: Tek suçlu Putin mi?: Yaz sıcaklarıyla boğuşan Almanların aklı şimdiden soğuk kış aylarında. Rusya vanayı kapatırsa ne olacak? DW'den Henrik Böhme, mevcut duruma düşülmesinde Almanya'nın kendi hatalarının payına dikkat çekiyor. ",fr,🔴 Winter Fear in Germany: Is the only criminal Putin?: The minds of the Germans struggling with summer heat are already in the cold winter months. What will happen if Russia closes the valve? Henrik Böhme from DW draws attention to the share of Germany's own mistakes in the current situation.
1897,"Mapping a table to a class is the first pattern you will apply when building a Knowledge Graph.

Read about this pattern at https://t.co/upRoDu4MUQ

#knowledgegraphs
#dataintegration
#rdf
#sparql","Mapping a table to a class is the first pattern you will apply when building a Knowledge Graph.

Read about this pattern at 




",fr,"Mapping a table to a class is the first pattern you will apply when building a Knowledge Graph.

Read about this pattern at 




"
1931,"rdf 1F1E5B34 :参戦ID
参加者募集！
Lv275 ディアスポラ
https://t.co/sVAQ3OKdHX","rdf 1F1E5B34 :参戦ID
参加者募集！
Lv275 ディアスポラ
",fr,"RDF 1f1e5b34: Participation ID
Call for Participation!
Lv275 Dia Spora
"
1944,"@Abundan03325927 @Murodzvi @AbdNan @AfricaFactsZone Then you expect the Governement of #RwandaIsKilling to mention their soldiers crossed the DRC borders. Nonsense. Please, go and check independent sources and come back with strong evidence. Don't want to waste my time when #RwandaIsKilling","   Then you expect the Governement of  to mention their soldiers crossed the DRC borders. Nonsense. Please, go and check independent sources and come back with strong evidence. Don't want to waste my time when ",fr,"   Then you expect the Governement of  to mention their soldiers crossed the DRC borders. Nonsense. Please, go and check independent sources and come back with strong evidence. Don't want to waste my time when "
1947,@VesaKarha @CoelThomas @SarasvuoJari Mikään yksittäinen energianlähde ei riitä kattamaan tarvetta kokonaan. Jätettä syntyy jo nyt valtavat määrät. Onko se tarkoitus säilöä jatkossa tulevaa tarvetta varten? 10% on jo aika paljon.,Mikään yksittäinen energianlähde ei riitä kattamaan tarvetta kokonaan. Jätettä syntyy jo nyt valtavat määrät. Onko se tarkoitus säilöä jatkossa tulevaa tarvetta varten? 10% on jo aika paljon.,fr,No single source of energy is sufficient to cover the need completely. Huge amounts of waste are already generated. Is it supposed to be preserved for future need in the future? 10% is already quite a lot.
1970,Les co fondateurs de RDF 🇷🇼 ( Rwanda Defence force) sont pour la plupart d’anciens officiers de renseignement de l’Udpf 🇺🇬 ( Uganda people’s Defence Force). Tout celui qui combat le RDF en s’alliant à l’udpf perd son temps.@East_DRC_News @kakese_leon @LwarhibaM @bkmusavuli,Les co fondateurs de RDF 🇷🇼 ( Rwanda Defence force) sont pour la plupart d’anciens officiers de renseignement de l’Udpf 🇺🇬 ( Uganda people’s Defence Force). Tout celui qui combat le RDF en s’alliant à l’udpf perd son temps.,fr,The founding CO of RDF 🇷🇼 (Rwanda Defense Force) are mostly former UDPF Intelligence officers (Uganda People’s Defense Force). Anyone who fights the RDF by allying on the UDPF wasted their time.
1974,Sri Lanka: Parliament accepts resignation of President Rajapaksa https://t.co/uTnHKkOG1H,Sri Lanka: Parliament accepts resignation of President Rajapaksa,fr,Sri Lanka: Parliament accepts resignation of President Rajapaksa
1976,Canada: Man acquitted in 1985 Air India bombing shot dead https://t.co/xeXsrkSheO,Canada: Man acquitted in 1985 Air India bombing shot dead,fr,Canada: Man acquitted in 1985 Air India bombing shot dead
1977,Ukraine: Germany's Baerbock rejects lifting Russia sanctions — live updates https://t.co/MKx6inZGq1,Ukraine: Germany's Baerbock rejects lifting Russia sanctions — live updates,fr,Ukraine: Germany's Baerbock rejects lifting Russia sanctions — live updates
2093,Wer hätte nur damit gerechnet? /ironieoff https://t.co/x16GdjY9UF,Wer hätte nur damit gerechnet? /ironieoff,fr,Who would have expected that? /ironyoff
2161,"Bearing in mind that a decade ago, @IRLDeptDefence put on the record that the RDF are not interchangeable with the PDF.

That's okay.

It means the DoD will just have to put in place the critical enablers that guarantee the quality and availability of Reservists. https://t.co/gJms7Squ9i","Bearing in mind that a decade ago,  put on the record that the RDF are not interchangeable with the PDF.

That's okay.

It means the DoD will just have to put in place the critical enablers that guarantee the quality and availability of Reservists. ",fr,"Bearing in mind that a decade ago,  put on the record that the RDF are not interchangeable with the PDF.

That's okay.

It means the DoD will just have to put in place the critical enablers that guarantee the quality and availability of Reservists. "
2165,10. Tu as des mots ou des expressions que tu lâches h24 ? Dis nous ?,10. Tu as des mots ou des expressions que tu lâches h24 ? Dis nous ?,fr,10. Do you have words or expressions that you let go of H24? Tell us ?
2170,Le président Félix Tshisekedi a envoyé une délégation en Ouganda pour implorer l'aide de Museveni. La délégation envoyée par Félix Tshisekedi estime qu'il est difficile de trouver une solution sans l'aide de Museveni. https://t.co/yVc5UVKC1J,Le président Félix Tshisekedi a envoyé une délégation en Ouganda pour implorer l'aide de Museveni. La délégation envoyée par Félix Tshisekedi estime qu'il est difficile de trouver une solution sans l'aide de Museveni.,fr,President Félix Tshisekedi sent a delegation to Uganda to implore the help of Museveni. The delegation sent by Félix Tshisekedi believes that it is difficult to find a solution without the help of Museveni.
2171,"🏆 RACE RESULT! 🏆

'Short or Long RDF's Foal' out of Solanaut Stables has just won the 🪙 25,000 Shin Fuji Great Stakes, covering 11 furlongs on the Dirt in 2:19.063!

🏇 View the entire race replay: https://t.co/umb37Mpe95","🏆 RACE RESULT! 🏆

'Short or Long RDF's Foal' out of Solanaut Stables has just won the 🪙 25,000 Shin Fuji Great Stakes, covering 11 furlongs on the Dirt in 2:19.063!

🏇 View the entire race replay: ",fr,"🏆 RACE RESULT! 🏆

'Short or Long RDF's Foal' out of Solanaut Stables has just won the 🪙 25,000 Shin Fuji Great Stakes, covering 11 furlongs on the Dirt in 2:19.063!

🏇 View the entire race replay: "
2205,"#-liked The Burst Fire Tank https://t.co/iuXyPS1hM0 @-Spookston: actually supposed to go into service … After the success of the HSTV-L, AAI … led to the RDF/LT, the Rapid Deployment Force Light Tank","#-liked The Burst Fire Tank  @-Spookston: actually supposed to go into service … After the success of the HSTV-L, AAI … led to the RDF/LT, the Rapid Deployment Force Light Tank",fr,"#-liked The Burst Fire Tank  @-Spookston: actually supposed to go into service … After the success of the HSTV-L, AAI … led to the RDF/LT, the Rapid Deployment Force Light Tank"
2209,@AndyBemba @LwarhibaM Même dans la récente feuille de route en Angola parle de la feuille de route d'octobre 2019. Il ne faut pas défendre pour défendre.  Il faut d'abord chercher à savoir ce qui s'est passé. https://t.co/aqCUW9O2xR,Même dans la récente feuille de route en Angola parle de la feuille de route d'octobre 2019. Il ne faut pas défendre pour défendre.  Il faut d'abord chercher à savoir ce qui s'est passé.,fr,Even in the recent roadmap in Angola talks about the October 2019 roadmap. You must not defend to defend. You must first try to know what happened.
2312,"In Germany, young Israelis and Bahrainis take steps toward each other https://t.co/sMrDtiX1on - source/editor :","In Germany, young Israelis and Bahrainis take steps toward each other  - source/editor :",kiny,"In Germany, young Israelis and Bahrainis take steps toward each other  - source/editor :"
2334,"Italian Prime Minister Mario Draghi to resign
#123INFO
https://t.co/LEov4EapW1","Italian Prime Minister Mario Draghi to resign

",fr,"Italian Prime Minister Mario Draghi to resign

"
2364,"Cultura en #DW 🇩🇪 ""Hallan por casualidad un autorretrato desconocido de Vincent Van Gogh detrás de uno de sus cuadros ""https://t.co/xbJOgx2GTr…","Cultura en  🇩🇪 ""Hallan por casualidad un autorretrato desconocido de Vincent Van Gogh detrás de uno de sus cuadros """,kiny,"Culture in 🇩🇪 ""They find by chance an unknown self -portrait of Vincent van Gogh behind one of his paintings"""
2380,ICC Chief calls for 'overarching strategy' to probe war crimes in Ukraine https://t.co/ypiZMA81Lo,ICC Chief calls for 'overarching strategy' to probe war crimes in Ukraine,fr,ICC Chief calls for 'overarching strategy' to probe war crimes in Ukraine
2472,"¿Se fijaron que el AMLO Viajero viene con su propio Ken? 🤔

#RDF🐅 https://t.co/XN3iYY3O7M","¿Se fijaron que el AMLO Viajero viene con su propio Ken? 🤔

🐅 ",fr,"Did they notice that the amlo traveler comes with his own Ken? 🤔

🐅"
2541,"#RDC #RWANDA : Comment en finir avec la guerre à l’Est de la RDC ? Quelle solution pour cette guerre qui a déjà fait plusieurs millions de morts? À qui profite le chaos en #RDC ?😉😉
https://t.co/5wfEPX2cBl https://t.co/aXWh1oOTfe"," : Comment en finir avec la guerre à l’Est de la RDC ? Quelle solution pour cette guerre qui a déjà fait plusieurs millions de morts? À qui profite le chaos en  ?😉😉
 ",kiny," : How to end the war in the east of the DRC? What solution for this war which has already killed several million? Who benefits from chaos in? 😉
 "
2548,@lo48576 仕様が統一，公開，どころか規定されていないこともありますが，そのあたりって規定できる程固定されていないと思っていて，word2vecかなんかでゆるふわに参考にするでもいい気がしたり．,仕様が統一，公開，どころか規定されていないこともありますが，そのあたりって規定できる程固定されていないと思っていて，word2vecかなんかでゆるふわに参考にするでもいい気がしたり．,fr,"The specifications may be unified, published, and may not be stipulated, but I think that it is not fixed enough to be able to specify around that, and I feel that it is good to refer to Word2vec or something."
2551,"ARIA - アクセシビリティ | MDN
https://t.co/YDCjn6gfgb

意味を示す機械可読な語彙、たとえば RDF であったり、あるいは限定的ではあるけど ARIA の属性だったりです","ARIA - アクセシビリティ | MDN


意味を示す機械可読な語彙、たとえば RDF であったり、あるいは限定的ではあるけど ARIA の属性だったりです",fr,"ARIA -Accessibility | MDN


Machine -readable vocabulary, for example, RDF, or limited but ARIA attributes."
2612,"America, Germania și mortala ideologie https://t.co/DFd6pJhbfy","America, Germania și mortala ideologie ",kiny,"America, Germany and mortal ideology"
2638,"Have you heard about the recent major #GraphDB release? Join GraphDB Product Manager, Pavel Mihaylov for a demonstration of its major changes, which will take place later today. Registration is free: https://t.co/58Cq9Yd4lv #SPARQL #RDF #knowledgegraphs #semanticweb","Have you heard about the recent major  release? Join GraphDB Product Manager, Pavel Mihaylov for a demonstration of its major changes, which will take place later today. Registration is free:     ",kiny,"Have you heard about the recent major  release? Join GraphDB Product Manager, Pavel Mihaylov for a demonstration of its major changes, which will take place later today. Registration is free:     "
2646,"Ukraine claims strike on Russian military checkpoints — live updates
#123INFO
https://t.co/88ovTks6UG","Ukraine claims strike on Russian military checkpoints — live updates

",kiny,"Ukraine claims strike on Russian military checkpoints — live updates

"
2651,I've added $RDF to my investments on @EasyEquities! FOMO?! Sign up and join over a million EasyVestors: https://t.co/CCF8xVdIB9,I've added $RDF to my investments on ! FOMO?! Sign up and join over a million EasyVestors:,kiny,I've added $RDF to my investments on ! FOMO?! Sign up and join over a million EasyVestors:
2657,EE. UU.: plataforma de criptomonedas Celsius se declara en quiebra https://t.co/l0huEOvCUR,EE. UU.: plataforma de criptomonedas Celsius se declara en quiebra,fr,USA.: Celsius cryptocurrency platform is declared bankrupt
2669,"Ukraine, Russia can reach deal on grain exports, says UN https://t.co/NPNfUUgNVN - source/editor :","Ukraine, Russia can reach deal on grain exports, says UN  - source/editor :",kiny,"Ukraine, Russia can reach deal on grain exports, says UN  - source/editor :"
2670,"4) Both the newly promoted Major General Sultan Makenga of the military wing of RDF/M23 and Bertrand Bisimwa on the political wing of RDF/M23 report directly to treacherous assassin Gen James Kabarebe who in turn feeds the Commander In Chief, Criminal Paul Kagame.","4) Both the newly promoted Major General Sultan Makenga of the military wing of RDF/M23 and Bertrand Bisimwa on the political wing of RDF/M23 report directly to treacherous assassin Gen James Kabarebe who in turn feeds the Commander In Chief, Criminal Paul Kagame.",kiny,"4) Both the newly promoted Major General Sultan Makenga of the military wing of RDF/M23 and Bertrand Bisimwa on the political wing of RDF/M23 report directly to treacherous assassin Gen James Kabarebe who in turn feeds the Commander In Chief, Criminal Paul Kagame."
2677,"Sri Lankan protesters await president's overdue resignation
#123INFO
https://t.co/hmbdJtp8eC","Sri Lankan protesters await president's overdue resignation

",kiny,"Sri Lankan protesters await president's overdue resignation

"
2690,UK: Rishi Sunak leads first round of voting to replace Boris Johnson https://t.co/irltrj7C5U,UK: Rishi Sunak leads first round of voting to replace Boris Johnson,fr,UK: Rishi Sunak leads first round of voting to replace Boris Johnson
2693,Liverpool fans unfairly blamed for Champions League chaos: French inquiry https://t.co/XkNB4HWFIy,Liverpool fans unfairly blamed for Champions League chaos: French inquiry,fr,Liverpool fans unfairly blamed for Champions League chaos: French inquiry
2707,UK: Rishi Sunak leads first round of voting to replace Boris Johnson https://t.co/YE9bC8BufB - source/editor :,UK: Rishi Sunak leads first round of voting to replace Boris Johnson  - source/editor :,kiny,UK: Rishi Sunak leads first round of voting to replace Boris Johnson  - source/editor :
2731,Encore #Une femme #MUNYAMULENGE (N.Bihogazi) Vienne d’être tuée par FARDC ds son domicile. Ns #condamnons la continuté de massacre Contre #Banyamulenge @LumumbaGustave @Mabuye_1 @Muyumba @FARDC_off @hrw @patrickzego @MugeyoNdayi @PMunyamulenge @GouvSudkivu @MuyeheEmile https://t.co/1HsrdQPLlM,Encore  femme  (N.Bihogazi) Vienne d’être tuée par FARDC ds son domicile. Ns  la continuté de massacre Contre,kiny,Still a woman (n.bihogazi) just was killed by Fardc in her home. Ns the continuity of massacre against
2737,Gazprom will not guarantee functioning of Nord Stream pipeline https://t.co/2hXWNZE4Hg - source/editor :,Gazprom will not guarantee functioning of Nord Stream pipeline  - source/editor :,fr,Gazprom will not guarantee functioning of Nord Stream pipeline  - source/editor :
2807,Sabina Loriga et Jacques Revel - Une histoire inquiète - Les historiens et le tournant linguistique à paraître en octobre https://t.co/XvhMTzN1Ef,Sabina Loriga et Jacques Revel - Une histoire inquiète - Les historiens et le tournant linguistique à paraître en octobre,fr,Sabina Loriga and Jacques Revel - a worried story - historians and the linguistic turning point to appear in October
2817,"＼ご予約受付中！／
7/16発売予定
ステラワースオリジナルグッズ

蝶の毒 華の鎖
・新作商品
・完売商品リニューアル＆復刻商品

https://t.co/86Td9wqPmx https://t.co/hozAkVZDWK","＼ご予約受付中！／
7/16発売予定
ステラワースオリジナルグッズ

蝶の毒 華の鎖
・新作商品
・完売商品リニューアル＆復刻商品

 ",fr,"\ Acceptance of reservations! / /
Scheduled to be released on 7/16
Stella Wars Original Goods

Butterfly poisoned chain
・ New products
・ Sold out products renewal & reprinted product

 "
2879,"Anvisa libera Coronavac para crianças de 3 a 5 anos
https://t.co/TVmbPfNaKh
 ""Imunizante é o primeiro contra o coronavírus autorizado para esta faixa etária no Brasil.""","Anvisa libera Coronavac para crianças de 3 a 5 anos

 ""Imunizante é o primeiro contra o coronavírus autorizado para esta faixa etária no Brasil.""",fr,"Anvisa releases coronavac for children from 3 to 5 years

 ""Immunizant is the first against coronavirus authorized for this age group in Brazil."""
2886,EU says Russia can transit sanctioned goods to Kaliningrad by rail https://t.co/nUDedqiOd1 - source/editor :,EU says Russia can transit sanctioned goods to Kaliningrad by rail  - source/editor :,kiny,EU says Russia can transit sanctioned goods to Kaliningrad by rail  - source/editor :
2887,"Puros clásicos...

#RDF🐅 https://t.co/wWxIKdIsPF","Puros clásicos...

🐅 ",kiny,"Classic cigars ...

🐅"
2901,A coreografia foi o Kiel que fez kkkkkkk cadê os defensores dessa bomba agora??? https://t.co/tpsyF1BJk2,A coreografia foi o Kiel que fez kkkkkkk cadê os defensores dessa bomba agora???,fr,The choreography was Kiel who made kkkkkkk where's the defenders of this bomb now ???
2928,"@gatarimorris Nous avons 450 ethnies dans lesquels l’ethnie M23 n’existe pas.
Puisque vous êtes terroriste et vous trouvez normal qu’ils tuent les civils et les forces à quitter leur maisons, vous devez trouvez normal que les FDLR viennent réclamer leurs terres au Rwanda.
La facture arrive","Nous avons 450 ethnies dans lesquels l’ethnie M23 n’existe pas.
Puisque vous êtes terroriste et vous trouvez normal qu’ils tuent les civils et les forces à quitter leur maisons, vous devez trouvez normal que les FDLR viennent réclamer leurs terres au Rwanda.
La facture arrive",fr,"We have 450 ethnic groups in which the M23 ethnic group does not exist.
Since you are a terrorist and you find normal that they kill civilians and forces to leave their homes, you must find normal that the FDLR come to claim their land in Rwanda.
The bill arrives"
2971,rdf https://t.co/oMkKXCC57f,rdf,fr,rdf
2981,"1’ KICK OFF!

UND | 0 - 0 | RDF","1’ KICK OFF!

UND | 0 - 0 | RDF",fr,"1 ’kick off!

And | 0 - 0 | Rdf"
2984,"Easy option would have been a CAPS deployment over the water, that's what I would have done in a real version of this.","Easy option would have been a CAPS deployment over the water, that's what I would have done in a real version of this.",fr,"Easy option would have been a CAPS deployment over the water, that's what I would have done in a real version of this."
2987,"📰 Novo RDF 1/0 na câmara dos deputados, de autoria do ADRIANA MIGUEL VENTURA: Aprova o ato que renova a autorização outorgada à Associação Comunitária de Comunicação e Cultura de Paulínia para executar serviço de radiodifusão comunitária no Município de Paulínia, Estado de Sã...","📰 Novo RDF 1/0 na câmara dos deputados, de autoria do ADRIANA MIGUEL VENTURA: Aprova o ato que renova a autorização outorgada à Associação Comunitária de Comunicação e Cultura de Paulínia para executar serviço de radiodifusão comunitária no Município de Paulínia, Estado de Sã...",kiny,"📰 New RDF 1/0 in the Chamber of Deputies, authored by Adriana Miguel Ventura: approves the act that renews the authorization granted to the Community Association of Communication and Culture of Paulinia to perform community broadcasting service in the municipality of Paulínia, healthy state. .."
2993,"🏆 RACE RESULT! 🏆

'RDF 9923-3396 Foal 2' out of SecretariYat Stables has just won the 🪙 10,000 Robin Hood Club Stakes, covering 10 furlongs on the Dirt in 2:02.105!

🏇 View the entire race replay: https://t.co/9MJ8jp4Lbs","🏆 RACE RESULT! 🏆

'RDF 9923-3396 Foal 2' out of SecretariYat Stables has just won the 🪙 10,000 Robin Hood Club Stakes, covering 10 furlongs on the Dirt in 2:02.105!

🏇 View the entire race replay: ",fr,"🏆 RACE RESULT! 🏆

'RDF 9923-3396 Foal 2' out of SecretariYat Stables has just won the 🪙 10,000 Robin Hood Club Stakes, covering 10 furlongs on the Dirt in 2:02.105!

🏇 View the entire race replay: "
3014,"58’ GOAL!

@AVFC_JJC what a run! He finishes if off with a sublime finish!

UND | 1 - 1 | RDF","58’ GOAL!

 what a run! He finishes if off with a sublime finish!

UND | 1 - 1 | RDF",fr,"58’ GOAL!

 what a run! He finishes if off with a sublime finish!

UND | 1 - 1 | RDF"
3020,Génocide au Rwanda : vers d'autres condamnations ? https://t.co/9cC34EDK19 #DeutscheWelle #Rwanda,Génocide au Rwanda : vers d'autres condamnations ?,fr,Genocide in Rwanda: towards other convictions?
3034,US slams Russia's 'forced deportations' in Ukraine — live updates https://t.co/ZDhsR9Z2H5 - source/editor :,US slams Russia's 'forced deportations' in Ukraine — live updates  - source/editor :,fr,US slams Russia's 'forced deportations' in Ukraine — live updates  - source/editor :
3075,"1) Treacherous assassin Gen James Kabarebe who was sidelined by criminal Paul Kagame in 2018, his now back as the overall coordinator of M23 Rebel Movement. https://t.co/Dz1HWz58rp","1) Treacherous assassin Gen James Kabarebe who was sidelined by criminal Paul Kagame in 2018, his now back as the overall coordinator of M23 Rebel Movement. ",fr,"1) Treacherous assassin Gen James Kabarebe who was sidelined by criminal Paul Kagame in 2018, his now back as the overall coordinator of M23 Rebel Movement. "
3536,"Encompassing the production of SRF (Solid Recovered Fuel) and RDF (Refuse Derived Fuel) materials, a leading provider of sustainable waste resource management and commercial recycling solutions in  Yorkshire, enlisted a Lindner Atlas 5500AS at the beginni…https://t.co/l4ZL27iJsq","Encompassing the production of SRF (Solid Recovered Fuel) and RDF (Refuse Derived Fuel) materials, a leading provider of sustainable waste resource management and commercial recycling solutions in  Yorkshire, enlisted a Lindner Atlas 5500AS at the beginni…",fr,"Encompassing the production of SRF (Solid Recovered Fuel) and RDF (Refuse Derived Fuel) materials, a leading provider of sustainable waste resource management and commercial recycling solutions in  Yorkshire, enlisted a Lindner Atlas 5500AS at the beginni…"
3590,"📣 #COVID19: l'AN rejette un article clé du projet de loi sanitaire

🗣@oliviermarleix : ""Le gouvernement a fait l’expérience concrète qu'il n'avait plus de majorité. L'heure oblige le gouvernement à écouter les opposions. Pour l’instant, il n'écoute pas, il est dans l’arrogance"" https://t.co/hcDboPsxMh","📣 : l'AN rejette un article clé du projet de loi sanitaire

🗣 : ""Le gouvernement a fait l’expérience concrète qu'il n'avait plus de majorité. L'heure oblige le gouvernement à écouter les opposions. Pour l’instant, il n'écoute pas, il est dans l’arrogance"" ",fr,"📣: The year rejects a key article from the health bill

🗣: ""The government has experienced concrete that it had no majority. The time forces the government to listen to the opposition. For the moment, it does not listen, it is in arrogance"""
3592,"Réaménagement au sein des FARDC et RDF, Kinshasa et Kigali s’apprêtent-ils pour la guerre ? https://t.co/8zyIn4Tv8d","Réaménagement au sein des FARDC et RDF, Kinshasa et Kigali s’apprêtent-ils pour la guerre ? ",kiny,"Recentment within the FARDC and DRF, Kinshasa and Kigali are they preparing for the war?"
3596,@END70 @visitrwanda_now #BrainLess Birere is not in Rwanda,Birere is not in Rwanda,fr,Birere is not in Rwanda
3605,Ukraine hopes to increase grain exports through Danube — live updates https://t.co/3vO0kBjzrl - source/editor :,Ukraine hopes to increase grain exports through Danube — live updates  - source/editor :,fr,Ukraine hopes to increase grain exports through Danube — live updates  - source/editor :
